iso3,Country,year,pop_mln,Country Total Emissions 2020 (MT),Country Total Emissions 2020 (tonnes),Country PCC Emissions 2020 (tonnes),gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2,lon,lat
PSE,Palestine,2020,5.322629,0,0,0,13.80404472,27.60808945,0,0,0,0,-0.273479329,4.875128583,0,-1.78281958,2.361654529,2.41E-05,1.025584374,3.45E-05,0,0,0,35.278,32.037
PAN,Panama,2020,4.28933,16.40894449,16408944.49,3.825526244,55.04105377,88.24401321,10.97067054,8.565999349,5.438273946,0,10.99010938,184.5327239,0,-0.262149384,37.94703434,0.000477737,2.837957304,0.150581444,1.489315511,0,0,-80.92,8.384
PNG,Papua New Guinea,2020,8.755675,16.33902629,16339026.29,1.866106987,22.08891678,35.43302338,6.878035227,55.71000195,9.460991065,0,15.40577618,54.12208206,0,2.789855225,4.287447334,8.23E-05,1.146019312,0.00148437,0.016793569,0,0,143.459,-5.949
PRY,Paraguay,2020,7.06633,43.31803632,43318036.32,6.130202852,30.75777054,50.32998392,6.678295056,136.7000008,36.63974126,0,39.37411201,291.9226431,0,3.589906006,11.75954873,0.000347705,2.007279441,0.014834219,0.443717318,0,0,-58.391,-23.236
PER,Peru,2020,33.31218,119.0749629,119074962.9,3.574517277,222.6424103,359.9126875,72.86705526,73.47000249,46.20790768,0,100.856768,848.3398808,0,8.689557617,104.6438294,0.001606157,16.02460987,0.12282261,1.222887952,0,0,-75.552,-9.326
PHL,Philippines,2020,109.7034,236.5111898,236511189.8,2.155914856,369.0718079,614.0204054,138.3961334,-15.38999844,98.11505636,0,220.3766965,722.0475883,0,31.5219043,95.61965015,0.001422454,24.00296502,0.03344654,0.317750486,0,0,122.466,11.118
POL,Poland,2020,37.942232,408.092598,408092598,10.75562972,650.0649414,916.8340237,327.5074209,-34.73479684,80.5851771,0,306.5685648,6042.645944,0,-23.33301953,450.8211129,0.008950589,35.73150111,0.798564705,7.255820797,0,0,19.401,52.125
PRT,Portugal,2020,10.218413,69.84152969,69841529.69,6.834870512,250.1170044,253.6652598,52.29101404,-10.96661337,17.55051565,0,39.13218547,1431.840601,0,20.29062109,176.206462,0.002707405,9.324199722,0.873311223,5.412053611,0,0,-8.058,40.309
QAT,Qatar,2020,2.791807,198.1814807,198181480.7,70.98681275,190.3874054,203.9567449,139.8541476,0,58.32733313,0,158.2550122,2440.405719,0,-4.092840088,170.8546225,0.003520008,2.782087054,1.448977194,80.16307871,0,0,51.191,25.316
ROU,Romania,2020,19.388362,127.4949672,127494967.2,6.575850355,234.1164093,339.1243536,86.77913221,-25.24178378,40.71583494,0,99.93400982,1479.556603,0,1.860453857,138.5701563,0.002429837,15.97456917,0.135644738,1.008405347,0,0,24.969,45.844
RUS,Russia,2020,143.786848,2636.900991,2636900991,18.33895817,1747.196289,2361.336053,1596.107005,-637.2335002,1040.793986,0,2158.711605,39228.11095,0,-180.0215,1040.110338,0.042158262,99.47670983,2.613854714,83.55259455,0,0,96.689,61.988
RWA,Rwanda,2020,13.087173,8.223669598,8223669.598,0.628376319,11.50941467,22.68914995,1.110717207,0.138799998,7.112952391,0,8.175398555,1.661854725,0,1.172909424,0.336217947,4.26E-06,0.210519761,1.62E-06,1.06E-05,0,0,29.917,-1.998
KNA,Saint Kitts and Nevis,2020,0.056813,0.350549915,350549.915,6.17024123,0.969798386,1.127909847,0.254721433,0.056200001,0.095828482,0,0.250330588,4.204999996,0,0.075274826,0.6221134,8.84E-06,0.046976069,0.001953449,0.013927122,0,0,-62.769,17.34
LCA,Saint Lucia,2020,0.181203,0.537274469,537274.469,2.965041798,1.569805145,2.214944742,0.452184965,0.126150002,0.085089504,0,0.410351634,5.79048321,0,0.207033051,0.741082958,1.12E-05,0.111125491,0.000566067,0.002744502,0,0,-60.969,13.898
VCT,Saint Vincent and the Grenadines,2020,0.110757,0.376903831,376903.831,3.402979776,0.814920783,1.307964484,0.224495672,0.100300002,0.152408159,0,0.304295736,3.807806567,0,0.1082005,0.374114224,6.40E-06,0.065940145,0.000173306,0.001059746,0,0,-61.194,13.248
WSM,Samoa,2020,0.200117,0.450178236,450178.236,2.249575179,0.79044342,0.959170788,0.210855971,-0.267974436,0.239322265,0,0.427349479,1.188736667,0,0.234680618,0.118478544,2.01E-06,0.032998199,1.49E-05,8.86E-05,0,0,-172.414,-13.652
SMR,San Marino,2020,0.033809,0.218834412,218834.412,6.472667396,1.836244941,1.836244941,0.180463729,-0.001974,0.038370683,0,0.007578803,6.161912395,0,-0.220476807,1.583236267,1.86E-05,0.033445315,0.013446477,0.069826487,0,0,12.46,43.942
STP,Sao Tome and Principe,2020,0.218011,0.223152795,223152.795,1.023585026,0.316452026,0.44245022,0.141903153,0.146500005,0.081249642,0,0.222103257,0.042056511,0,0.103042412,0.00671426,9.25E-08,0.003585925,2.94E-08,1.61E-07,0,0,6.629,0.201
SAU,Saudi Arabia,2020,34.70964,643.5491301,643549130.1,18.54093359,731.2197876,907.1249363,556.822464,0,86.72666613,0,510.1458262,8593.532645,0,-41.09375391,526.633365,0.011761138,31.42343974,2.160178105,42.27819068,0,0,44.585,24.023
SEN,Senegal,2020,17.200154,31.14336919,31143369.19,1.810644788,22.05452919,36.99842109,11.99581861,6.0370001,19.14755058,0,30.94589994,13.95944999,0,2.863399902,0.654886464,1.74E-05,0.382172207,2.20E-06,2.51E-05,0,0,-14.881,15.013
SRB,Serbia,2020,8.703942,73.60992543,73609925.43,8.457079037,47.40079117,86.27943835,50.34055869,-33.03599962,23.26936674,0,67.5479759,458.4154046,0,0,17.09682544,0.000534435,4.770227977,0.000617236,0.008347543,0,0,20.806,44.032
SYC,Seychelles,2020,0.096112,0.643841542,643841.542,6.698867384,1.516722679,2.947590576,0.587605054,0,0.056236488,0,0.436665973,10.02838165,0,0,1.151650089,1.83E-05,0.090034623,0.002601037,0.020871915,0,0,55.474,-4.647
SLE,Sierra Leone,2020,8.046931,8.825511953,8825511.953,1.096755018,4.321474552,9.847590798,1.725836933,5.968999902,7.09967502,0,8.821909686,0.233654341,0,0.906841003,0.01405913,3.18E-07,0.016309332,1.21E-10,1.44E-09,0,0,-11.792,8.56
SGP,Singapore,2020,5.935053,83.65770586,83657705.86,14.09552802,326.9050903,404.6288974,78.83910306,0.054649994,4.8186028,0,44.36420034,1178.979757,0,277.370875,291.1748543,0.003464205,5.78811868,2.155658797,32.06373657,0,0,103.808,1.351
SVK,Slovakia,2020,5.4514,44.26957488,44269574.88,8.120771707,120.5737839,151.6077122,36.2704436,-7.386997064,7.999131282,0,28.13045131,797.2136946,0,7.692708008,88.10491354,0.001422862,5.397659498,0.17047886,0.749850802,0,0,19.491,48.707
SVN,Slovenia,2020,2.082054875,17.45038964,17450389.64,8.381330314,55.94554138,61.21055695,13.97377284,-5.39845407,3.4766168,0,9.830658941,375.2681515,0,6.7044375,41.70934813,0.000671773,2.050627798,0.17082602,0.86757164,0,1.934376667,14.827,46.124
SLB,Solomon Islands,2020,0.647297,0.386364453,386364.453,0.596888991,0.993780315,1.230058035,0.220510816,1.795000037,0.165853637,0,0.3834959,0.124305778,0,0.204260635,0.017409441,2.53E-07,0.008505948,1.30E-07,3.99E-07,0,0,160.109,-9.611
