iso3,country,year,pop_mln,TotalEmissions_MT,PCC,gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2
NON_OECD,Non-OECD,2020,6466.15905,35310.1,5.5,33203.63126,51011.77258,25044.45534,4099.412707,10265.64402,0,31605.90484,226450.2716,0,-2591.326243,15847.01974,0.326570196,1838.624836,53.31105288,1793.829586,0,0.8609699
ASEAN,ASEAN,2020,667.634926,2749.3,4.1,3218.177522,5027.877831,1643.460295,1525.735675,1105.797641,0,2520.052458,11828.944,0,245.8668287,1200.236892,0.020207275,196.9608813,2.87712069,44.38189099,0,0
CPA,Centrally Planned Asia,2020,1575.838974,15596.4,9.9,12921.65954,19441.31469,12651.42395,-281.7737579,2944.998671,0,14039.72345,85585.50542,0,-2447.762769,7623.76734,0.137242133,662.6706126,29.22216105,1252.156683,0,0
SSA,Sub Saharan Africa,2020,1147.940424,2194.8,1.9,1899.660723,3128.518131,826.5623605,1691.206187,1368.260996,0,2069.060964,9142.646625,0,-43.46391561,391.6940819,0.011087498,71.70280275,0.851228961,28.36002015,0,0
NAMER,USA and Canada,2020,373.070052,7455.9,20,20629.84912,18376.77656,6103.715693,-778.4575214,1352.193399,0,3989.691586,185262.3062,0,774.7463545,17509.33441,0.305589603,359.1116282,142.3204504,2686.259897,0,735.5887451
WEU,Western Europe,2020,510.815933,4122.1,8.1,20615.42569,17126.53778,3358.251121,-301.9370926,763.8391201,0,1625.267689,97830.22574,0,1317.554305,16196.49362,0.220125544,486.4623464,142.3725262,664.9146723,0,42.92960221
MAF,Middle East and Africa,2020,1612.559086,6041,3.7,5671.236043,8476.440699,3813.732636,1719.716422,2227.227246,0,5376.989628,43672.02763,0,-197.274804,2530.525229,0.058537125,280.5152875,10.5920908,282.1719466,0,0.847780289
PAS,Other Pacific Asia,2020,633.381478,3344,5.3,5007.534509,6948.944816,2330.0596,1516.108929,1013.90754,0,2822.529692,27119.78031,0,447.2002941,2709.464321,0.045971109,253.335284,9.486811601,103.8503307,0,0
OECD90,OECD 1990 members,2020,1038.895341,13462,13,49175.53196,41102.34188,11093.7582,-1172.414776,2368.229152,0,6483.24426,325893.04,0,2313.237201,39992.34422,0.615261831,999.3836079,347.172652,3803.147234,0,1058.602393
MEA,Middle East and North Africa,2020,466.334403,3846,8.2,3768.101055,5347.438053,2985.88058,23.63073502,860.137848,0,3308.012844,34517.5558,0,-153.5117751,2137.91137,0.047431793,208.6418683,9.740711434,253.8111454,0,0.847780289
JPAUNZ,JPAUNZ,2020,156.728246,1895.4,12.1,7974.446228,5641.928322,1641.394039,-92.5479933,254.0395899,0,874.7421077,43012.6944,0,227.6053027,6317.192594,0.089986481,155.4625494,62.60302911,452.3841565,0,280.9318256
SAS,South Asia,2020,1852.028724,4235.9,2.3,3943.33282,8800.323111,3060.23481,62.17393938,1175.620335,0,4150.144101,3416.942167,0,14.24687616,550.0956614,0.00755648,297.3327815,0.006610139,0.031701553,0,0
